comments,duration,event,languages,main_speaker,name,num_speaker,views2,tags,number,lengths,views
,,,,,,,,,,8,1226441
,,,,,,,,,,3,1225960
,,,,,,,,,,9,1225763
,,,,,,,,,,6,1225718
,,,,,,,,,,8,1224191
,,,,,,,,,,8,1224127
,,,,,,,,,,8,1223720
,,,,,,,,,,7,1222800
,,,,,,,,,,6,1222519
,,,,,,,,,,8,1219295
,,,,,,,,,,4,1218882
,,,,,,,,,,4,1217412
,,,,,,,,,,3,1215947
,,,,,,,,,,5,1215662
,,,,,,,,,,6,1215549
,,,,,,,,,,8,1212774
,,,,,,,,,,4,1212346
,,,,,,,,,,6,1212079
,,,,,,,,,,8,1211416
,,,,,,,,,,5,1209663
,,,,,,,,,,6,1207550
,,,,,,,,,,5,1205867
,,,,,,,,,,6,1203056
,,,,,,,,,,8,1200139
,,,,,,,,,,9,1194762
,,,,,,,,,,7,1191591
,,,,,,,,,,8,1191342
,,,,,,,,,,7,1190085
,,,,,,,,,,6,1189513
,,,,,,,,,,4,1183303
,,,,,,,,,,8,1183075
,,,,,,,,,,4,1181696
,,,,,,,,,,4,1174189
,,,,,,,,,,10,1173235
,,,,,,,,,,8,1168080
,,,,,,,,,,8,1165313
,,,,,,,,,,7,1164777
,,,,,,,,,,7,1164684
,,,,,,,,,,6,1163387
,,,,,,,,,,5,1162011
,,,,,,,,,,12,1160841
,,,,,,,,,,6,1160672
,,,,,,,,,,10,1159426
,,,,,,,,,,8,1158707
,,,,,,,,,,8,1157388
,,,,,,,,,,6,1150409
,,,,,,,,,,4,1149257
,,,,,,,,,,7,1149090
,,,,,,,,,,3,1145700
,,,,,,,,,,12,1143028
,,,,,,,,,,5,1140425
,,,,,,,,,,10,1139827
,,,,,,,,,,5,1139732
,,,,,,,,,,6,1139068
,,,,,,,,,,5,1138566
,,,,,,,,,,5,1136037
,,,,,,,,,,5,1134737
,,,,,,,,,,6,1132964
,,,,,,,,,,8,1132913
,,,,,,,,,,3,1132752
,,,,,,,,,,5,1131864
,,,,,,,,,,11,1131041
,,,,,,,,,,8,1129577
,,,,,,,,,,2,1128896
,,,,,,,,,,8,1128212
,,,,,,,,,,5,1119772
,,,,,,,,,,7,1118006
,,,,,,,,,,5,1115081
,,,,,,,,,,4,1112914
,,,,,,,,,,7,1111146
,,,,,,,,,,3,1110781
,,,,,,,,,,5,1109822
,,,,,,,,,,5,1107307
,,,,,,,,,,3,1104345
,,,,,,,,,,7,1101811
,,,,,,,,,,3,1097511
,,,,,,,,,,8,1096198
,,,,,,,,,,6,1095806
,,,,,,,,,,8,1091988
,,,,,,,,,,7,1090180
,,,,,,,,,,8,1089949
,,,,,,,,,,9,1088768
,,,,,,,,,,4,1085152
,,,,,,,,,,6,1085138
,,,,,,,,,,5,1084634
,,,,,,,,,,6,1083424
,,,,,,,,,,7,1082869
,,,,,,,,,,7,1080869
,,,,,,,,,,7,1079698
,,,,,,,,,,5,1076279
,,,,,,,,,,5,1074081
,,,,,,,,,,7,1072727
,,,,,,,,,,10,1070238
,,,,,,,,,,3,1069653
,,,,,,,,,,4,1065681
,,,,,,,,,,6,1061964
,,,,,,,,,,6,1061687
,,,,,,,,,,10,1060918
,,,,,,,,,,6,1057238
,,,,,,,,,,4,1056435
,,,,,,,,,,4,1055904
,,,,,,,,,,4,1055886
,,,,,,,,,,4,1055562
,,,,,,,,,,6,1054600
,,,,,,,,,,4,1054590
,,,,,,,,,,5,1054415
,,,,,,,,,,8,1051614
,,,,,,,,,,9,1051530
,,,,,,,,,,14,1051196
,,,,,,,,,,4,1049727
,,,,,,,,,,10,1049652
,,,,,,,,,,7,1048304
,,,,,,,,,,5,1045631
,,,,,,,,,,7,1044185
,,,,,,,,,,6,1044038
,,,,,,,,,,8,1038727
,,,,,,,,,,7,1034518
,,,,,,,,,,6,1034064
,,,,,,,,,,6,1034009
,,,,,,,,,,5,1032549
,,,,,,,,,,7,1032390
,,,,,,,,,,8,1031398
,,,,,,,,,,6,1030267
,,,,,,,,,,10,1028548
,,,,,,,,,,10,1028312
,,,,,,,,,,9,1025698
,,,,,,,,,,10,1024661
,,,,,,,,,,6,1022457
,,,,,,,,,,5,1022333
,,,,,,,,,,8,1022042
,,,,,,,,,,5,1021180
,,,,,,,,,,3,1014201
,,,,,,,,,,7,1013879
,,,,,,,,,,6,1013266
,,,,,,,,,,4,1013063
,,,,,,,,,,7,1009069
,,,,,,,,,,6,1008394
,,,,,,,,,,10,1005506
,,,,,,,,,,3,1005088
,,,,,,,,,,7,1004893
,,,,,,,,,,4,1000194
,,,,,,,,,,5,996736
,,,,,,,,,,5,996694
,,,,,,,,,,6,993232
,,,,,,,,,,8,992773
,,,,,,,,,,6,991694
,,,,,,,,,,5,991359
,,,,,,,,,,3,990220
,,,,,,,,,,14,990084
,,,,,,,,,,7,987388
,,,,,,,,,,7,984223
,,,,,,,,,,7,983929
,,,,,,,,,,6,981351
,,,,,,,,,,4,979094
,,,,,,,,,,3,978825
,,,,,,,,,,5,976473
,,,,,,,,,,5,975115
,,,,,,,,,,7,975107
,,,,,,,,,,4,974087
,,,,,,,,,,8,973376
,,,,,,,,,,8,971212
,,,,,,,,,,6,967741
,,,,,,,,,,3,967704
,,,,,,,,,,6,967667
,,,,,,,,,,8,966439
,,,,,,,,,,12,961423
,,,,,,,,,,13,961158
,,,,,,,,,,11,959460
,,,,,,,,,,6,959404
,,,,,,,,,,6,959382
,,,,,,,,,,7,956539
,,,,,,,,,,8,955827
,,,,,,,,,,3,953825
,,,,,,,,,,6,948840
,,,,,,,,,,6,948459
,,,,,,,,,,6,946815
,,,,,,,,,,5,944836
,,,,,,,,,,4,943565
,,,,,,,,,,5,942604
,,,,,,,,,,6,940913
,,,,,,,,,,4,940703
,,,,,,,,,,5,938456
,,,,,,,,,,4,933319
,,,,,,,,,,8,933311
,,,,,,,,,,8,931677
,,,,,,,,,,5,931567
,,,,,,,,,,5,931001
,,,,,,,,,,3,930647
,,,,,,,,,,10,929167
,,,,,,,,,,5,929077
,,,,,,,,,,6,928270
,,,,,,,,,,6,925733
,,,,,,,,,,13,923916
,,,,,,,,,,6,923663
,,,,,,,,,,7,922923
,,,,,,,,,,7,922158
,,,,,,,,,,6,920941
,,,,,,,,,,4,914212
,,,,,,,,,,6,914011
,,,,,,,,,,7,911601
,,,,,,,,,,4,909508
,,,,,,,,,,4,909309
,,,,,,,,,,6,908923
,,,,,,,,,,10,907844
,,,,,,,,,,6,907147
,,,,,,,,,,6,907047
,,,,,,,,,,4,906262
,,,,,,,,,,7,904813
