main_speaker,num_speaker,speaker_occupation
Jun Wang,1,Genomics researcher
Kailash Satyarthi,1,Children®πs rights activist
Kaki King,1,Guitarist
Kamal Meattle,1,Business owner and activist
Kang Lee,1,Developmental researcher
Karen Armstrong,1,Religious scholar
Karen Bass,1,Natural history filmmaker 
Karim Abouelnaga,1,Education entrepreneur
Karoliina Korppoo,1,Game designer
Kary Mullis,1,Biochemist
Kary Mullis,1,Biochemist
Kate Hartman,1,Artist and technologist
Kate Marvel,1,Climate scientist
Kate Stone,1,Shepherd of electrons
Katherine Fulton,1,New philanthropist
Kathryn Schulz,1,Wrongologist
Kees Moeliker,1,Ornithologist
Keith Barry,1,Magician
Keith Bellows,1,Traveler
Keller Rinaudo,1,Robotics entrepreneur
Ken Robinson,1,Author/educator
Ken Robinson,1,Author/educator
Kenichi Ebina,1,Dancer
Kenneth Lacovara,1,Paleontologist
Keolu Fox,1,"Geneticist, indigenous rights activist"
Keren Elazari,1,Cybersecurity expert
Kevin Bales,1,Anti-slavery activist
Kevin Briggs,1,Golden Gate guardian
Kevin Kelly,1,Digital visionary
Kevin Rudd,1,International relations expert 
Kevin Stone,1,"Surgeon, inventor"
Kevin Surace,1,"Engineer, executive"
Kio Stark,1,Stranger enthusiast
Kirk Citron,1,Media expert 
Kitra Cahana,1,Vagabond photojournalist + conceptual artist
Kristen Ashburn,1,Photographer
Kristen Marhaver,1,Coral reef biologist
Lakshmi Pratury,1,Connector
Laolu Senbanjo,1,"Artist, musician, lawyer, activist"
Larry Brilliant,1,"Epidemiologist, philanthropist"
Larry Burns,1,Automotive researcher
Larry Page,1,CEO of Google
Latif Nasser,1,Radio researcher
LaToya Ruby Frazier,1,Photographer
Laura Galante,1,Cyberspace analyst
Laura Indolfi,1,Biomedical entrepreneur
Laura Schulz,1,Cognitive scientist
Laura Trice,1,"Counselor, coach and baker"
Laurie Garrett,1,Science journalist
Lawrence Lessig,1,Legal activist
Lawrence Lessig,1,Legal activist
Lawrence Lessig,1,Legal activist
Lee Smolin,1,Physicist
Lennart Green,1,Close-up card magician
Leyla Acaroglu,1,Sustainability strategist
